Name,Profession,KnownMovie,About
" Al Pacino
",Actor,Serpico,"
    Alfredo James ""Al"" 'Pacino established himself as a film actor during one of cinema's most vibrant decades, the 1970s, and has become an enduring and iconic figure in the world of American movies.He was born April 25, 1940 in Manhattan, New York City, to Italian-American parents, Rose (nee Gerardi)...                 "
" Alycia Pascual-Pena
",Actress,Moxie,"
    Alycia Pascual-Peña is a New York native and Spanish bilingual who began her entertainment career at the young age of three years old. After performing in SHINE's acting, dancing, modeling, and singing showcases, Alycia instantly became a successful quadruple threat. She began modeling for brands ...                 "
" Daniel Radcliffe
",Actor,Harry,"
    Daniel Jacob Radcliffe was born on July 23, 1989 in Fulham, London, England, to casting agent Marcia Gresham (née Jacobson) and literary agent Alan Radcliffe. His father is from a Northern Irish Protestant background, while his mother was born in South Africa, to a Jewish family (from Lithuania, ...                 "
" Audrey Marie Anderson
",Actress,The,"
    Audrey Marie Anderson is an American actress, born in Texas on March the 7th, 1975. She has been in film and television since 2000, working with notable directors such as David Mamet, Lisa Cholodenko and Antoine Fuqua. She appears on the television series, Arrow (2012), as Lyla Michaels. She is ...                 "
" Edgar Ramírez
",Actor,Gold,"
    Edgar Ramirez Arellano is a Venezuelan actor, born on March 25, 1977 in the city of San Cristobal (Tachira State, southwest Venezuela). He is the son of Soday Arellano, an attorney, and Filiberto Ramírez, a military officer.Being the son of a soldier and living abroad with his family, he learned ...                 "
" Michelle Williams
",Actress,My,"
    A small-town girl born and raised in rural Kalispell, Montana, Michelle Ingrid Williams is the daughter of Carla Ingrid (Swenson), a homemaker, and Larry Richard Williams, a commodity trader and author. Her ancestry is Norwegian, as well as German, British Isles, and other Scandinavian. She was ...                 "
" Jolene Blalock
",Actress,Enterprise,"
    Jolene Blalock was born and raised in San Diego, California. At age 16, she left home to pursue a modeling career in Europe and Asia. It was on a 1998 trip back to the United States that Blalock was compelled to flex her untested acting skills, and after a few commercial appearances and some ...                 "
" Emerald Fennell
",Writer,Promising,"
    Emerald Fennell was born on October 1, 1985 in Hammersmith, London, England as Emerald Lilly Fennell. She is an actress and writer, known for Promising Young Woman (2020), The Crown (2016) and Killing Eve (2018).                 "
" Nora-Jane Noone
",Actress,The,"
    Nora-Jane Noone was born on March 8, 1984 in Galway, Ireland. She is an actress, known for The Descent (2005), The Magdalene Sisters (2002) and Brooklyn (2015).                 "
" Anna Kendrick
",Actress,Up,"
    Anna Kendrick was born in Portland, Maine, to Janice (Cooke), an accountant, and William Kendrick, a teacher. She has an older brother, Michael Cooke Kendrick, who has also acted. She is of English, Irish, and Scottish descent.For her role as ""Dinah"" in ""High Society"" on Broadway, Anna Kendrick was...                 "
" Zoey Deutch
",Actress,Set,"
    Zoey Deutch was born in Los Angeles, California. She starred in Everybody Wants Some (2016), Before I Fall (2017), Why Him? (2016), Flower (2017) and Set It Up (2018).She recently wrapped production on Buffaloed (2019) which she produced as well, and is currently shooting the series The Politician ...                 "
" Chuck Norris
",Actor,"Walker,","
    Chuck Norris is familiar to fans worldwide as the star of action films such as The Hitman (1991), The Delta Force (1986) and Delta Force 2: The Colombian Connection (1990). He also starred in Missing in Action (1984) and its sequels, Firewalker (1986) and Sidekicks (1992). He was an executive ...                 "
" Lady Gaga
",Soundtrack,A,"
    Lady Gaga, born Stefani Joanne Angelina Germanotta, is an American songwriter, singer, actress, philanthropist, dancer and fashion designer.Gaga was born on March 28, 1986 in Manhattan, New York City, to Cynthia Louise (Bissett), a philanthropist and business executive, and Joseph Anthony ...                 "
" Colton Dunn
",Actor,Key,"
    Colton Dunn was born on June 30, 1977 in Normal, Illinois, USA. He is an actor and writer, known for Key and Peele (2012), Hatchet II (2010) and Superstore (2015).                 "
" Emily Browning
",Actress,A,"
    Australian actress Emily Browning was born in 1988 in Melbourne, Australia, to Shelley and Andrew Browning. She has two younger brothers. Her start in acting came after a classmate's father, involved in the acting business, noticed her ""acting all ditsy"" in a school play. Emily found an agent and ...                 "
" Rachael Leigh Cook
",Actress,She's,"
    Minneapolis native Rachael Leigh Cook began her career as a model at the tender age of 10, gracing Milk-Bone(R) boxes and Target(R) ads nationwide in the USA. She also appeared in a now-famous (in the USA) anti-drug TV spot in which, armed with a frying pan, she bashed her way through a kitchen to ...                 "
" Michael Sheen
",Actor,Masters,"
    Even though he had burned up the London stage for nearly a decade--and appeared in several films--Michael Sheen was not really ""discovered"" by American audiences until his critically-acclaimed turn as Wolfgang Amadeus Mozart in the 1999 Broadway revival of ""Amadeus"".Sheen was born in Newport, Wales...                 "
" Felicity Jones
",Actress,Rogue,"
    Felicity Rose Hadley Jones is an English actress and producer. Jones started her professional acting career as a child, appearing at age 12 in The Treasure Seekers (1996). She went on to play Ethel Hallow for one series in the television show The Worst Witch and its sequel Weirdsister College. ...                 "
" Moira Kelly
",Actress,One,"
    Born March 6, 1968 in Queens, New York, she is the third of six kids. Her father, Peter, was trained as a concert violinist. Her mother, Anne, is a nurse. Both are Irish immigrants. Moira was raised in Ronkonkoma, NY. She attended Connetquot Senior High School and graduated in the class of 1986. ...                 "
" Taron Egerton
",Actor,Kingsman:,"
    Taron Egerton is a British actor and singer, known for his roles in the British television series The Smoke, the 2014 action comedy film Kingsman: The Secret Service, and the film Rocketman (2019). He has also played Edward Brittain in the 2014 drama film Testament of Youth, appeared in the 2015 ...                 "
" Malin Akerman
",Actress,Watchmen,"
    Malin was born in Stockholm, Sweden and raised in Toronto, Canada. Her mother, Pia (Sundström), is a model and aerobics instructor, and her father, Magnus Åkerman, is an insurance broker. They moved to Toronto when she was age 2. At age 5, she began appearing in TV commercials. Her parents divorced...                 "
" Mélanie Laurent
",Actress,Inglourious,"
    Mélanie Laurent was born in Paris, France. She is the daughter of Annick, a ballet teacher, and Pierre, a voice actor, who is most recognized for the French version of The Simpsons (1989). She has a younger brother, Mathieu, and has both Sephardi Jewish (from Tunisia) and Ashkenazi Jewish (from ...                 "
" Kirsten Dunst
",Actress,Spider-Man,"
    Kirsten Caroline Dunst is an American actress, who also holds German citizenship. She was born on April 30, 1982 in Point Pleasant, New Jersey, to parents Inez (née Rupprecht), who owned an art gallery, and Klaus Dunst, a medical services executive. She has a younger brother named Christian Dunst, ...                 "
" Ginnifer Goodwin
",Actress,Big,"
    Ginnifer Goodwin was born Jennifer Michelle Goodwin on May 22, 1978, in Memphis, Tennessee, to Linda (Kantor), who worked at FedEx, and Tim Goodwin, who had a recording studio. Bright and talented, Ginnifer carried her love for theater and acting through her high school years. She graduated from ...                 "
" Dana Aliya Levinson
",Actress,American,"
    Dana is a New York based actress, writer, musician, and trans advocate whose work has been performed from San Francisco to Paris. They are best known for their work as Toni Rykener in ""American Gods"", Sadie Lipton in ""The Good Fight"", Hazel in ""Adam"", Jess in ""The Dress You Have On"", and Grace in ...                 "
" Amy Poehler
",Actress,Inside,"
    Amy Meredith Poehler was born in Newton, Massachusetts, to high school teachers Eileen Frances (Milmore) and William Grinstead Poehler. Her brother is comedian Greg Poehler. She is of Irish (from her mother) and English, Irish, German, and Portuguese (from her father) descent. Amy was first ...                 "
" Harrison Ford
",Actor,The,"
    Harrison Ford was born on July 13, 1942 in Chicago, Illinois, to Dorothy (Nidelman), a radio actress, and Christopher Ford (born John William Ford), an actor turned advertising executive. His father was of Irish and German ancestry, while his maternal grandparents were Jewish emigrants from Minsk, ...                 "
" Rose Byrne
",Actress,Spy,"
    Rose Byrne was born in Balmain, Sydney, Australia. She is the daughter of Jane, a primary school administrator, and Robin Byrne, a semi-retired statistician and market researcher.She landed her first role in a movie, Dallas Doll (1994), when she was 15 years old.Since then, Rose has appeared in a ...                 "
" Chadwick Boseman
",Actor,Black,"
    Chadwick Boseman was an American actor. He is known for his portrayal of T'Challa / Black Panther in the Marvel Cinematic Universe from 2016 to 2019, particularly in Black Panther (2018), and for his starring roles as several pioneering Americans, Jackie Robinson in 42 (2013), James Brown in Get on...                 "
" Halston Sage
",Actress,Scouts,"
    Named to Variety's Top 10 Stars to Watch, Halston Sage continues to gain fame, working alongside notable actors and filmmakers.She was born Halston Jean Schrage in Los Angeles, California, to Lenny and Tema Schrage, and has two younger siblings, Max and Kate. In addition to her acting credits, Sage...                 "
" Daniel Kaluuya
",Actor,Get,"
    Daniel Kaluuya is an English actor and writer. He is best known for Get Out (2017) and Black Panther (2018).He also starred in the Black Mirror episode ""Fifteen Million Merits"".For his work in Get Out he was nominated for an Academy Award for Best Actor.Kaluuya also had minor roles in Johnny ...                 "
" Lena Headey
",Actress,300,"
    Lena Headey is a Bermudian-British actress. Headey is best known for her role as ""Cersei Lannister"" in Game of Thrones (2011) (2011-2019) and The Brothers Grimm (2005), Possession (2002), and The Remains of the Day (1993). Headey stars as ""Queen Gorgo"", a heroic Spartan woman in the period film, 300...                 "
" Martin Scorsese
",Director,Taxi,"
    Martin Charles Scorsese was born on November 17, 1942 in Queens, New York City, to Catherine Scorsese (née Cappa) and Charles Scorsese, who both worked in Manhattan's garment district, and whose families both came from Palermo, Sicily. He was raised in the neighborhood of Little Italy, which later ...                 "
" Jesse Plemons
",Actor,The,"
    Jesse Plemons was born on April 2, 1988 in Dallas, Texas, USA as Jesse Lon Plemons. He is an actor, known for The Irishman (2019), Game Night (2018) and Battleship (2012).                 "
" Idris Elba
",Actor,Beasts,"
    An only child, Idrissa Akuna Elba was born and raised in London, England. His father, Winston, is from Sierra Leone and worked at Ford Dagenham; his mother, Eve, is from Ghana and had a clerical duty. Idris attended school in Canning Town, where he first became involved in acting, before he dropped...                 "
" Haley Bennett
",Actress,The,"
    A natural talent with a striking presence, Haley Bennett continues to establish herself as one of Hollywood's most dynamic actresses.Upcoming, Bennett will star opposite Austin Stowell in Carlo Mirabella-Davis's SWALLOW, on which she also serves as an executive producer. Bennett plays 'Hunter,' a ...                 "
" Dan Stevens
",Actor,Downton,"
    Dan Stevens was born at Croydon in Surrey on 10th October 1982. His parents are teachers. He was educated at Tonbridge School and trained in acting at the National Youth Theatre of Great Britain. He studied English Literature at Emmanuel College, Cambridge. Whilst he was a Cambridge undergraduate, ...                 "
" Nikki Roumel
",Actress,Ginny,"
    Nikki Roumel was born on May 8, 2000 in Toronto, Ontario, Canada. She is an actress, known for Ginny & Georgia (2021), Designated Survivor (2016) and Holly Hobbie (2018).                 "
" Josephine Langford
",Actress,After,"
    Josephine Langford was born on August 18, 1997 in Perth, Australia. She is an actress, known for After (2019), Moxie (2021) and After We Collided (2020).                 "
" Akiley Love
",Actress,Coming,"
    Akiley is a down-home 12-year-old, raised in the South, and loves spending time solving complex math problems, competitive hula hooping, and making people laugh through comedy and storytelling. At the young age of 5 she knew that she wanted to make people laugh and bring her joyful presence to the ...                 "
" Sheila Johnson
",Actress,Coming,"
    Sheila Johnson is an actress, known for Coming to America (1988), Shakedown (1988) and Space Rangers (1993).                 "
" Wes Anderson
",Director,Fantastic,"
    Wesley Wales Anderson was born in Houston, Texas. His mother, Texas Ann (Burroughs), is an archaeologist turned real estate agent, and his father, Melver Leonard Anderson, worked in advertising and PR. He has two brothers, Eric and Mel. Anderson's parents divorced when he was a young child, an ...                 "
" Kelly Stables
",Actress,Superstore,"
    Kelly Michelle Stables was born in St. Louis, Missouri where she performed at The Muny Opera. She graduated cum laude from The University of Missouri, Columbia with a BA in Communications and Theater. Upon moving to Los Angeles she quickly got involved in theater arts, acting and choreographing in ...                 "
" Toby Kebbell
",Actor,Fantastic,"
    Toby Kebbell was born in 1982 in Pontefract, Yorkshire. He then moved to Nottinghamshire, where he grew up. Aged 17 he joined the Central Television Workshop in Nottingham.Toby's breakthrough came when Shane Meadows saw him at the Central Television Workshop and cast him in the role of Anthony in ...                 "
" Ellen Muth
",Actress,Dolores,"
    Not only is Ellen an actress but she is a member of Mensa, a student at the Lee Strasberg School, drives and races a six speed SS and collects Burmese cats. Her awards include Best Actress at the AFI for The Young Girl and the Monsoon (1999) and best supporting actress at the Japanese Film Festival...                 "
" Ewan McGregor
",Actor,Moulin,"
    Ewan Gordon McGregor was born on March 31, 1971 in Perth, Perthshire, Scotland, to Carol Diane (Lawson) and James Charles McGregor, both teachers. His uncle is actor Denis Lawson. He was raised in Crieff. At age 16, he left Morrison Academy to join the Perth Repertory Theatre. His parents ...                 "
" Nicholas Hoult
",Actor,Mad,"
    Nicholas Caradoc Hoult was born in Wokingham, Berkshire, England to parents Glenis and Roger Hoult. His great-aunt was one of the most popular actresses of her time, Dame Anna Neagle. He attended Sylvia Young Theatre School, a school for performing arts, to start acting as a career.Hoult has been ...                 "
" Mark Ruffalo
",Actor,Spotlight,"
    Award-winning actor Mark Ruffalo was born on November 22, 1967, in Kenosha, Wisconsin, of humble means to father Frank Lawrence Ruffalo, a construction painter and Marie Rose (Hebert), a stylist and hairdresser; his father's ancestry is Italian and his mother is of half French-Canadian and half ...                 "
" Kelsey Asbille
",Actress,Fargo,"
    Kelsey Asbille Chow is the oldest of three siblings, a younger brother and younger sister. At a young age she studied dance, and grew to love performing. School plays led to community theater, then she was member of the Hammond Select Ensemble, which she has performed with in Italy and other places...                 "
" Joaquin Phoenix
",Actor,Walk,"
    Joaquin Phoenix was born Joaquin Rafael Bottom in San Juan, Puerto Rico, to Arlyn (Dunetz) and John Bottom, and is the middle child in a brood of five. His parents, from the continental United States, were then serving as Children of God missionaries. His mother is from a Jewish family from New ...                 "
" Annette O'Toole
",Actress,Superman,"
    Beautiful red-haired film/stage actress, dancer, writer, singer, producer and composer Annette O'Toole was born on April 1, 1952 in Houston, Texas, to Dorothy Geraldine (Niland) and William West Toole, Jr. She started with acting at a very young age and during the 60s, she began a career in theater...                 "
" Liza Minnelli
",Soundtrack,Cabaret,"
    Liza Minnelli was born on March 12, 1946, the daughter of Judy Garland and movie director Vincente Minnelli. She was practically raised at MGM studios while her parents worked long hours there and she made her film debut at fourteen months of age in the movie In the Good Old Summertime (1949). Her ...                 "
" Ali Skovbye
",Actress,Breakthrough,"
    Born in Vancouver, Canada, Ali began her acting career at only four years old after being scouted for a national car commercial. She went directly into film and television the following year, booking a supporting lead role in the feature film ""Personal Effects"" starring Michelle Pfeiffer and ...                 "
" Michelle Trachtenberg
",Actress,Buffy,"
    Trachtenberg grew up in Brooklyn and started her acting career young; she began appearing in commercials at the age of 3.She continued to act and dance through her school years, making regular television appearances from the age of 10. She landed a recurring role in the kids' TV show The Adventures...                 "
" Niamh Wilson
",Actress,Saw,"
    Niamh (pronounced ""Neve"") Wilson is a veteran film and television actor, known for her craft-driven approach to acting, believing in the integral role of all to the final outcome of a project. She brings intuition, empathy, curiosity and humor to her work. Having trained as a dancer, she also ...                 "
" Angelina Jolie
",Actress,Maleficent,"
    Angelina Jolie is an Academy Award-winning actress who rose to fame after her role in Girl, Interrupted (1999), playing the title role in the ""Lara Croft"" blockbuster movies, as well as Mr. & Mrs. Smith (2005), Wanted (2008), Salt (2010) and Maleficent (2014). Off-screen, Jolie has become ...                 "
" Donna Murphy
",Actress,Tangled,"
    A Tony and Emmy Award winner, Donna Murphy has forged a career of exceptional diversity, impressing both audiences and critics with her depth and skill. This ""seductive actress of major transformative powers"" (NY Times) was named one of three ""Legit Luminaries,"" alongside Joan Didion and Christine ...                 "
" John Krasinski
",Actor,A,"
    Tall, handsome American film and television star John Krasinski is known for his role as sardonic nice guy Jim Halpert on NBC's popular TV series, The Office (2005), for which he won a 2007 and 2008 Screen Actors Guild Award for outstanding performance by an ensemble in a comedy series.Born John ...                 "
" Isla Fisher
",Actress,Wedding,"
    Isla Lang Fisher was born on February 3, 1976 in Muscat, Oman, to Scottish parents Elspeth Reid and Brian Fisher, who worked as a banker for the U.N. She spent her early childhood in Bathgate, Scotland, before moving to Perth, Australia with her family in the early 1980s. From a young age, Isla ...                 "
" Paul Rudd
",Actor,Ant-Man,"
    Paul Stephen Rudd was born in Passaic, New Jersey. His parents, Michael and Gloria, both from Jewish families, were born in the London area, U.K. He has one sister, who is three years younger than he is. Paul traveled with his family during his early years, because of his father's airline job at ...                 "
" Jason Momoa
",Actor,Aquaman,"
    Joseph Jason Namakaeha Momoa was born on August 1, 1979, in Honolulu, Hawaii. He is the son of Coni (Lemke), a photographer, and Joseph Momoa, a painter. His father is of Hawaiian descent and his mother, who is from Iowa, is of mostly German ancestry. Jason was raised in Norwalk, Iowa, by his ...                 "
" Imogen Poots
",Actress,Vivarium,"
    British actress Imogen Poots was born in Hammersmith, London, England, the daughter of English-born Fiona (Goodall), a journalist, and Trevor Poots, a Northern Ireland-born television producer. She was educated at Bute House Preparatory School for Girls, Queen's Gate School for Girls and Latymer ...                 "
" Olivia Colman
",Actress,The,"
    Olivia Colman was born on January 30, 1974 in Norwich, Norfolk, England as Sarah Caroline Olivia Colman. She is an actress, known for The Favourite (2018), Tyrannosaur (2011) and The Lobster (2015). She has been married to Ed Sinclair since August 2001. They have three children.                 "
" Kaitlyn Dever
",Actress,Booksmart,"
    Having been named one of Variety's 10 Actors to Watch, Kaitlyn Dever has become one of Hollywood's top emerging young actresses.Dever has showcased her versatility, appearing in movies such as Clint Eastwood's J. Edgar, James Ponsoldt's The Spectacular Now, Destin Daniel Cretton's Short Term 12, ...                 "
" Malina Weissman
",Actress,A,"
    Malina Weissman was born on March 12, 2003 in New York City, New York, USA. She is an actress, known for A Series of Unfortunate Events (2017), Teenage Mutant Ninja Turtles (2014) and Nine Lives (2016).                 "
" Bradley Cooper
",Actor,A,"
    Bradley Charles Cooper was born on January 5, 1975 in Philadelphia, Pennsylvania. His mother, Gloria (Campano), is of Italian descent, and worked for a local NBC station. His father, Charles John Cooper, who was of Irish descent, was a stockbroker. Immediately after Bradley graduated from the ...                 "
" Melissa McCarthy
",Actress,The,"
    Melissa McCarthy was born in Plainfield, Illinois, to Sandra and Michael McCarthy, and was raised on her family's corn and soybean farm. She began her performing career as a stand-up comedian in New York where she appeared at the famous clubs, Stand Up New York and The Improv. She worked on her ...                 "
" Robert Pattinson
",Actor,Twilight,"
    Robert Douglas Thomas Pattinson was born May 13, 1986 in London, England, to Richard Pattinson, a car dealer importing vintage cars, and Clare Pattinson (née Charlton), who worked as a booker at a model agency. He grew up in Barnes, southwest London with two older sisters. Robert discovered his ...                 "
" Schuyler Helford
",Actress,Call,"
    Schuyler Helford was born on March 10, 1991 in Los Angeles County, California, USA as Schuyler Rishona Helford. She is an actress and writer, known for Call Me Kat (2021), Haunt (2019) and Anger Management (2012).                 "
" Sam Rockwell
",Actor,Moon,"
    Sam Rockwell was born on November 5, 1968, in San Mateo, California, the only child of two actors, Pete Rockwell and Penny Hess. The family moved to New York when he was two years old, living first in the Bronx and later in Manhattan. When Sam was five years old, his parents separated, at which ...                 "
" Alice Eve
",Actress,Before,"
    Alice Sophia Eve was born in London, England. Her father is Trevor Eve and her mother is Sharon Maughan, both fellow actors. She is the eldest of three children. Eve has English, Irish and Welsh ancestry. Her family moved to Los Angeles, California when she was young as her father tried to crack ...                 "
" Reese Witherspoon
",Producer,Wild,"
    Laura Jeanne Reese Witherspoon was born on March 22, 1976 at Southern Baptist Hospital (now Memorial Medical Center) in New Orleans, Louisiana. She is the second child of Mary Elizabeth ""Betty"" (Reese) and Dr. John Draper Witherspoon, Sr. Her father was a military surgeon specializing in ear, nose ...                 "
" Jenna Coleman
",Actress,Victoria,"
    Jenna-Louise Coleman (born 27 April 1986), professionally known as Jenna Coleman, is an English actress and model. Coleman was born in Blackpool, Lancashire, England, and began her acting career at an early age as a member of a theatre company called In Yer Space. She attended Arnold School, where ...                 "
" Ralph Fiennes
",Actor,The,"
    Actor Ralph Nathaniel Twisleton-Wykeham-Fiennes was born on December 22, 1962 in Suffolk, England, to Jennifer Anne Mary Alleyne (Lash), a novelist, and Mark Fiennes, a photographer. He is the eldest of six children. Four of his siblings are also in the arts: Martha Fiennes, a director; Magnus ...                 "
" Odette Annable
",Actress,Cloverfield,"
    Odette Annable was born Odette Juliette Yustman on 10 May, 1985, in Los Angeles, California. Her mother, Lydia (Nodarse), is Cuban. Odette's father, Victor Oscar Yustman, was born in Bogotá, Colombia, of Italian and Polish Jewish descent. Odette started her career with a minor role in the movie ...                 "
" Katie Holmes
",Actress,Batman,"
    Born two months premature at four pounds, Kate Noelle Holmes made her first appearance on December 18, 1978, in Toledo, Ohio. She is the daughter of Kathleen Ann (Craft), a philanthropist, and Martin Joseph Holmes, Sr., a lawyer. She is of German, Irish, and English ancestry. Her parents have said ...                 "
" Ashley Johnson
",Actress,The,"
    Los Angeles-based Ashley Suzanne Johnson was born in Camarillo, California on August 9, 1983, to Clifford and Nancy Johnson. She is of Danish, Irish, Native American, Norwegian, Scottish, and Swedish descent. When she was 9 days old, her family packed up and moved to Michigan where her father (the ...                 "
" Chloë Sevigny
",Actress,We,"
    Chloë Sevigny is an Academy Award-nominated and Golden Globe-winning actress and director who is known for her groundbreaking work across film, television and theatre. Sevigny has spent her career working with innovative and revolutionary filmmakers and artists including Lars von Trier, Jim ...                 "
" Helena Bonham Carter
",Actress,Sweeney,"
    Helena Bonham Carter is an actress of great versatility, one of the UK's finest and most successful.Bonham Carter was born May 26, 1966 in Golders Green, London, England, the youngest of three children of Elena (née Propper de Callejón), a psychotherapist, and Raymond Bonham Carter, a merchant ...                 "
" Sofía Vergara
",Actress,Hot,"
    Sofía Margarita Vergara Vergara was born and raised in Barranquilla, Colombia. Her mother, Margarita Vergara Dávila de Vergara, is a housewife. Her father, Julio Enrique Vergara Robayo, provides cattle to the meat industry. She has five siblings. She was educated at a private bilingual Spanish/...                 "
" Matt Shakman
",Director,WandaVision,"
    Matt Shakman was born on August 8, 1975. He is a director and producer, known for WandaVision (2021), Game of Thrones (2011) and The Great (2020). He has been married to Maggie Malone since October 8, 2012. They have one child.                 "
" James McAvoy
",Actor,Filth,"
    McAvoy was born on 21 April 1979 in Glasgow, Scotland, to Elizabeth (née Johnstone), a nurse, and James McAvoy senior, a bus driver. He was raised on a housing estate in Drumchapel, Glasgow by his maternal grandparents (James, a butcher, and Mary), after his parents divorced when James was 11. He ...                 "
" Megan Fox
",Actress,Transformers,"
    Megan Denise Fox was born on May 16, 1986 in Oak Ridge, Tennessee to Gloria Darlene Tonachio (née Cisson), a real estate manager & Franklin Thomas Fox, a parole officer; she was raised in Rockwood, Tennessee during her early childhood. She began her drama & dance training at age 5 and at age 10, ...                 "
" Mark Strong
",Actor,1917,"
    British actor Mark Strong, who played Jim Prideaux in the 2011 remake of Tinker Tailor Soldier Spy (2011), is often cast as cold, calculating villains. But before he became a famous actor, he intended to pursue a career in law.Strong was born Marco Giuseppe Salussolia in London, England, to an ...                 "
" Chris Pine
",Actor,Star,"
    Chris Pine was born in Los Angeles. His parents are actors Robert Pine and Gwynne Gilford, and his maternal grandparents were Max M. Gilford, a president of the Hollywood Bar Association, and actress Anne Gwynne. His sister, Katherine Pine, has also acted. Chris's ancestry is Russian Jewish (from ...                 "
" Renée Zellweger
",Actress,Chicago,"
    Renée Kathleen Zellweger was born on April 25, 1969, in Katy, Texas, Her mother, Kjellfrid Irene (Andreassen), is a Norwegian-born former nurse and midwife, of Norwegian, Kven (Finnish), and Swedish descent. Her father, Emil Erich Zellweger, is a Swiss-born engineer. The two married in 1963. Renée ...                 "
" Hannah Ware
",Actress,Hitman:,"
    Hannah Ware was born on December 8, 1982 in Hammersmith, London, England as Hannah Rose Ware. She is an actress, known for Hitman: Agent 47 (2015), Cop Out (2010) and Oldboy (2013). She was previously married to Jesse Jenkins.                 "
" Chloé Zhao
",Director,Nomadland,"
    Chloé Zhao or Zhao Ting (born March 31, 1982) is a Chinese film director, screenwriter, and producer. Her debut feature film, Songs My Brothers Taught Me (2015), premiered at Sundance Film Festival. Her second feature film, The Rider (2017), was critically acclaimed and received several accolades ...                 "
" Cierra Ramirez
",Actress,Girl,"
    Cierra Ramirez was born on March 9, 1995 in Houston, Texas, USA as Cierra Alexa Ramirez. She is an actress and producer, known for Girl in Progress (2012), The Fosters (2013) and Good Trouble (2019).                 "
" Zooey Deschanel
",Actress,New,"
    Zooey Deschanel was born in 1980 into a showbiz family. Her father, Caleb Deschanel, is an Academy Award-nominated cinematographer (perhaps most notably for The Passion of the Christ (2004)) and her mother, Mary Jo Deschanel (née Weir), is an actress who appeared in Twin Peaks (1990). Her paternal ...                 "
" Ryan Hurst
",Actor,Remember,"
    Ryan Douglas Hurst (born June 19, 1976) is an American actor, best known for his roles as Gerry Bertier in Disney's Remember the Titans, Tom Clark in Taken, Opie Winston in the FX network drama series Sons of Anarchy, as Sergeant Ernie Savage in We Were Soldiers, and as Chick in Bates Motel.Hurst ...                 "
" Claire Danes
",Actress,My,"
    New Yorker Claire Catherine Danes was born in Manhattan, the daughter of Carla (Hall), a day-care provider and artist, and Christopher Danes, a computer consultant and photographer. She has an older brother, Asa. Her paternal grandfather, Gibson Andrew Danes, was a Dean of the Yale School of Art ...                 "
" Mila Kunis
",Actress,Black,"
    Mila Kunis was born Milena Markovna Kunis (Ukrainian: Miléna Márkivna Kúnis, Russian: Miléna Márkovna Kúnis) to a Jewish family in Chernivtsi, Ukraine, USSR (now independent Ukraine). The spoken language in her family is Russian, not Ukrainian.Her mother, Elvira, is a physics teacher, her father, ...                 "
" Shia LaBeouf
",Actor,Honey,"
    Shia Saide LaBeouf was born in Los Angeles, California, to Shayna (Saide) and Jeffrey Craig LaBeouf, and is an only child. His mother is from an Ashkenazi Jewish family, while his father has Cajun (French) ancestry. His parents are divorced. He started his career by doing stand-up comedy around ...                 "
" Anthony Mackie
",Actor,The,"
    Anthony Mackie is an American actor. He was born in New Orleans, Louisiana, to Martha (Gordon) and Willie Mackie, Sr., who owned a business, Mackie Roofing. Anthony has been featured in feature films, television series and Broadway and Off-Broadway plays, including Ma Rainey's Black Bottom, ...                 "
" Keri Russell
",Actress,Waitress,"
    Keri Russell was born in Fountain Valley, California, to Stephanie (Stephens) and David Harold Russell, an executive at Nissan Motors. She began her career on the Mickey Mouse Club in 1991. She stayed with the show until 1993. After leaving MMC (1989) (where she, along with her castmates recorded ...                 "
" Stana Katic
",Actress,Castle,"
    Stana Katic stars in the new 10-episode TV series Absentia (2017), produced by Sony Pictures Television and premiering on Amazon.Katic's feature film work includes: CBGB (2013), about the punk rock club in NYC; Big Sur (2013), based on the Jack Kerouac novel; Frank Miller's film The Spirit (2008); ...                 "
" Olivia Munn
",Actress,The,"
    Lisa Olivia Munn was born in Oklahoma City, Oklahoma. Her mother, Kimberly Schmid, lived in Vietnam, and is of Chinese ancestry, while her father, Winston Barrett Munn, is from a family with deep roots in the American South. Olivia's parents divorced when she was two years old, and she was raised ...                 "
" Alexis Bledel
",Actress,Gilmore,"
    Kimberly Alexis Bledel was born in Houston, Texas, to Nanette (Dozier) and Martin Bledel. Her parents are both Spanish-speakers (her mother was born in Arizona and raised in Mexico, and her father was born in Argentina), and Alexis's ancestry includes Danish, Welsh, English, Scottish, Irish, and ...                 "
" Clancy Brown
",Actor,The,"
    A tall, wavy-haired US actor with a deep, resonant voice, Clancy Brown has proved himself a versatile performer with first-class contributions to theater, feature films, television series and even animation.Clarence J. Brown III was born in 1959 in Urbana, Ohio, to Joyce Helen (Eldridge), a concert...                 "
" Zac Efron
",Actor,The,"
    Zachary David Alexander Efron was born October 18, 1987 in San Luis Obispo, California, to Starla Baskett, a secretary, and David Efron, an electrical engineer. He has a younger brother, Dylan. The surname ""Efron"", which is Hebrew and a Biblical place name, comes from Zac's Polish Jewish paternal ...                 "
" Katey Sagal
",Actress,Futurama,"
    An extremely gifted, versatile performer adept at both comedy and drama, actress/singer Katey Sagal became a household name in the late 1980s as the fabulously brazen, undomesticated Peg Bundy on the enduring Fox series Married with Children (1987). During its lengthy run she received three Golden ...                 "
